entity_id,name,tier,county,website,email,phone,notes
sd-a-max-brewer-memorial-law-library,A. Max Brewer Memorial Law Library,special_district,Brevard,https://www.brevardfl.gov/SpecialDistricts/AMaxBrewerMemorialLawLibrary,teresa.cassella@flcourts18.org,(321) 617-7295,purpose=Library - Law; dependent; lga=Brevard County
sd-a-h-at-turnpike-south-community-development-district,A.H. at Turnpike South Community Development District,special_district,Miami-Dade,https://www.ahturnpikesouthcdd.org,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=Miami-Dade County
sd-abbott-square-community-development-district,Abbott Square Community Development District,special_district,Pasco,https://AbbottSquareCDD.net,vbabbar@srvlegal.com,(813) 223-9400,purpose=Community Development; independent; lga=City of Zephyrhills
sd-aberdeen-community-development-district,Aberdeen Community Development District,special_district,St. Johns,https://www.aberdeencdd.org,wesley.haber@kutakrock.com,(850) 692-7300,purpose=Community Development; independent; lga=St. Johns County
sd-acacia-fields-community-development-district,Acacia Fields Community Development District,special_district,Pasco,https://www.acaciafieldscdd.org,brizzetta@rizzetta.com,(813) 514-0400,purpose=Community Development; independent; lga=Pasco County
sd-acacia-grove-community-development-district,Acacia Grove Community Development District,special_district,Miami-Dade,https://acaciagrovecdd.com,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=Miami-Dade County
sd-academical-village-community-development-district,Academical Village Community Development District,special_district,Broward,https://www.academicalcdd.com,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=Town of Davie
sd-acme-improvement-district,Acme Improvement District,special_district,Palm Beach,https://acme.wellingtonfl.gov,tquickel@wellingtonfl.gov,(561) 791-4000,purpose=Drainage and/or Water Control; dependent; lga=Village of Wellington
sd-acree-community-development-district,Acree Community Development District,special_district,Duval,https://acreecdd.com,wesley.haber@kutakrock.com,(850) 692-7300,purpose=Community Development; independent; lga=City of Jacksonville
sd-alachua-community-redevelopment-agency,Alachua Community Redevelopment Agency,special_district,Alachua,https://www.cityofalachua.com/government/community-redevelopment-agency,ro_valladares@cityofalachua.org,(386) 418-6100,purpose=Community Redevelopment; dependent; lga=City of Alachua
