source_id,entity_id,name,tier,county,platform,portal_url,api_url,adapter,docs_anon,live_fetch,confidence,notes
mfmp-vip,,MyFloridaMarketPlace Vendor Information Portal (all State of Florida agencies),state,statewide,mfmp_vip,https://vendor.myfloridamarketplace.com/search/bids,https://vendor.myfloridamarketplace.com/mfmp/pub/search/bids,vip,yes,true,verified,Single statewide feed covering all executive-branch state agencies (129 MFMP-registered orgs in vip_orgs.json)
og-alachuacounty,co-alachua-county,"Alachua County, Florida",county,alachua,opengov,https://procurement.opengov.com/portal/alachuacounty,https://api.procurement.opengov.com/api/v1/government/alachuacounty/project/public,opengov,yes,true,verified,"OpenGov tenant code=alachuacounty. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 390 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-bay-k12-fl,sch-bay-county-school-district,Bay County School District,school_district,bay,opengov,https://procurement.opengov.com/portal/bay-k12-fl,https://api.procurement.opengov.com/api/v1/government/bay-k12-fl/project/public,opengov,yes,true,verified,"OpenGov tenant code=bay-k12-fl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 0 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-baycountyfl,co-bay-county,"Bay County, FL",county,bay,opengov,https://procurement.opengov.com/portal/baycountyfl,https://api.procurement.opengov.com/api/v1/government/baycountyfl/project/public,opengov,yes,true,verified,"OpenGov tenant code=baycountyfl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 124 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-cfxway,sd-central-florida-expressway-authority,Central Florida Expressway Authority,special_district,brevard-orange-osceola-lake-seminole,opengov,https://procurement.opengov.com/portal/cfxway,https://api.procurement.opengov.com/api/v1/government/cfxway/project/public,opengov,yes,true,verified,"OpenGov tenant code=cfxway. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 6 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-citrusfl,co-citrus-county,"Citrus County, Florida",county,citrus,opengov,https://procurement.opengov.com/portal/citrusfl,https://api.procurement.opengov.com/api/v1/government/citrusfl/project/public,opengov,yes,true,verified,"OpenGov tenant code=citrusfl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 68 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-apopka,mun-city-of-apopka,City of Apopka,municipality,orange,opengov,https://procurement.opengov.com/portal/apopka,https://api.procurement.opengov.com/api/v1/government/apopka/project/public,opengov,yes,true,verified,"OpenGov tenant code=apopka. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 100 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-bartowfl,mun-city-of-bartow,"City of Bartow, FL",municipality,polk,opengov,https://procurement.opengov.com/portal/bartowfl,https://api.procurement.opengov.com/api/v1/government/bartowfl/project/public,opengov,yes,true,verified,"OpenGov tenant code=bartowfl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 26 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-cityofbradenton,mun-city-of-bradenton,City of Bradenton,municipality,manatee,opengov,https://procurement.opengov.com/portal/cityofbradenton,https://api.procurement.opengov.com/api/v1/government/cityofbradenton/project/public,opengov,yes,true,verified,"OpenGov tenant code=cityofbradenton. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 50 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-capecoralfl,mun-city-of-cape-coral,"City of Cape Coral, FL",municipality,lee,opengov,https://procurement.opengov.com/portal/capecoralfl,https://api.procurement.opengov.com/api/v1/government/capecoralfl/project/public,opengov,yes,true,verified,"OpenGov tenant code=capecoralfl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 30 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-myclearwater,mun-city-of-clearwater,City of Clearwater,municipality,pinellas,opengov,https://procurement.opengov.com/portal/myclearwater,https://api.procurement.opengov.com/api/v1/government/myclearwater/project/public,opengov,yes,true,verified,"OpenGov tenant code=myclearwater. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 126 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
